Comment,Designator,Footprint,LCSC
Conn_01x08_Pin,J2,PinHeader_1x08_P2.54mm_Vertical,
~,U2,Fader_apai_SC1009M,
~,U4,Fader_apai_SC1009M,
~,U3,Fader_apai_SC1009M,
~,U1,Fader_apai_SC1009M,
Conn_01x08_Pin,J1,PinHeader_1x08_P2.54mm_Vertical,
